[0821/000215.832:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.832:ERROR:exception_snapshot_win.cc(98)] thread ID 6368 not found in process
[0821/000215.832:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.832:ERROR:exception_snapshot_win.cc(98)] thread ID 2200 not found in process
[0821/000215.848:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.848:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.848:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.848:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.848:ERROR:exception_snapshot_win.cc(98)] thread ID 7152 not found in process
[0821/000215.863:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.863:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.863:ERROR:exception_snapshot_win.cc(98)] thread ID 10308 not found in process
[0821/000215.863:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.863:ERROR:exception_snapshot_win.cc(98)] thread ID 8944 not found in process
[0821/000215.863:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.863:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.863:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.863:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0821/000215.863:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.863:ERROR:exception_snapshot_win.cc(98)] thread ID 11260 not found in process
[0821/000215.879:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0821/000215.879:ERROR:exception_snapshot_win.cc(98)] thread ID 8412 not found in process
[1008/112917.292:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1008/161119.806:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1010/005235.242:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1010/141829.063:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1012/131548.345:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1012/162106.511:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1013/122306.448:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1013/173548.636:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1014/130533.651:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1015/120708.042:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1016/174701.932:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1018/190713.421:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1019/114159.724:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1019/194948.662:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1020/122424.435:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1020/211916.148:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1021/150305.597:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1022/085113.441:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1022/121823.369:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1022/130840.512:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1025/140617.956:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
[1025/233536.151:ERROR:directory_reader_win.cc(43)] FindFirstFile: Системе не удается найти указанный путь. (0x3)
